id,tipo,descripcion,lat,lon,fecha_extraccion,cuadrante,calle
1,desconocido,Evento tipo desconocido,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,Grecia Ñuñoa
2,happy,Evento tipo happy,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,Pudahuel
3,ninja,Evento tipo ninja,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,Vespucio Sur
4,LOL,Evento tipo LOL,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,La Cisterna
5,peaceful,Evento tipo peaceful,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,Recoleta
6,sunny,Evento tipo sunny,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,Macul
7,inlove,Evento tipo inlove,-33.575,-70.69999999999999,2025-04-28 19:51:18,Q1_1_1,San Miguel
8,desconocido,Evento tipo desconocido,-33.611875,-70.74,2025-04-28 19:51:27,Q2_1_1,Av. La Florida
9,happy,Evento tipo happy,-33.611875,-70.74,2025-04-28 19:51:27,Q2_1_1,Vespucio Sur
10,desconocido,Evento tipo desconocido,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Las Rejas
11,happy,Evento tipo happy,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Quinta Normal
12,zombie,Evento tipo zombie,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Camino a Melipilla
13,ninja,Evento tipo ninja,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Alameda Centro
14,LOL,Evento tipo LOL,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Macul
15,sunny,Evento tipo sunny,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Vespucio Sur
16,peaceful,Evento tipo peaceful,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Grecia Ñuñoa
17,inlove,Evento tipo inlove,-33.611875,-70.69999999999999,2025-04-28 19:51:35,Q2_1_2,Lo Prado
18,desconocido,Evento tipo desconocido,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,Los Dominicos
19,ninja,Evento tipo ninja,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,San Miguel
20,inlove,Evento tipo inlove,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,Independencia
21,sunny,Evento tipo sunny,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,Camino a Melipilla
22,happy,Evento tipo happy,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,Pudahuel
23,zombie,Evento tipo zombie,-33.611875,-70.65999999999998,2025-04-28 19:51:43,Q2_1_3,Costanera Norte
24,desconocido,Evento tipo desconocido,-33.575,-70.74,2025-04-28 19:51:52,Q2_2_1,Maipú
25,happy,Evento tipo happy,-33.575,-70.74,2025-04-28 19:51:52,Q2_2_1,Costanera Norte
26,peaceful,Evento tipo peaceful,-33.575,-70.74,2025-04-28 19:51:52,Q2_2_1,Macul
27,desconocido,Evento tipo desconocido,-33.575,-70.69999999999999,2025-04-28 19:51:59,Q2_2_2,Huechuraba
28,happy,Evento tipo happy,-33.575,-70.69999999999999,2025-04-28 19:51:59,Q2_2_2,San Joaquín
29,peaceful,Evento tipo peaceful,-33.575,-70.69999999999999,2025-04-28 19:51:59,Q2_2_2,Peñalolén
30,ninja,Evento tipo ninja,-33.575,-70.69999999999999,2025-04-28 19:51:59,Q2_2_2,Apoquindo Las Condes
31,desconocido,Evento tipo desconocido,-33.575,-70.65999999999998,2025-04-28 19:52:07,Q2_2_3,Av. La Florida
32,peaceful,Evento tipo peaceful,-33.575,-70.65999999999998,2025-04-28 19:52:07,Q2_2_3,Maipú
33,happy,Evento tipo happy,-33.575,-70.65999999999998,2025-04-28 19:52:07,Q2_2_3,Lo Prado
34,zombie,Evento tipo zombie,-33.575,-70.65999999999998,2025-04-28 19:52:07,Q2_2_3,Av. La Florida
35,ninja,Evento tipo ninja,-33.575,-70.65999999999998,2025-04-28 19:52:07,Q2_2_3,Lo Barnechea
36,desconocido,Evento tipo desconocido,-33.538125,-70.74,2025-04-28 19:52:16,Q2_3_1,Independencia
37,happy,Evento tipo happy,-33.538125,-70.74,2025-04-28 19:52:16,Q2_3_1,Grecia Ñuñoa
38,sunny,Evento tipo sunny,-33.538125,-70.74,2025-04-28 19:52:16,Q2_3_1,San Bernardo
39,inlove,Evento tipo inlove,-33.538125,-70.74,2025-04-28 19:52:16,Q2_3_1,Macul
40,peaceful,Evento tipo peaceful,-33.538125,-70.74,2025-04-28 19:52:16,Q2_3_1,Estación Central
41,desconocido,Evento tipo desconocido,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,Macul
42,happy,Evento tipo happy,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,Estación Central
43,inlove,Evento tipo inlove,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,La Cisterna
44,peaceful,Evento tipo peaceful,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,Ñuñoa Plaza Egaña
45,zombie,Evento tipo zombie,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,Vespucio Sur
46,LOL,Evento tipo LOL,-33.538125,-70.69999999999999,2025-04-28 19:52:24,Q2_3_2,Los Dominicos
47,desconocido,Evento tipo desconocido,-33.538125,-70.65999999999998,2025-04-28 19:52:32,Q2_3_3,Lo Prado
48,road-closed,Evento tipo road-closed,-33.538125,-70.65999999999998,2025-04-28 19:52:32,Q2_3_3,Recoleta
49,happy,Evento tipo happy,-33.538125,-70.65999999999998,2025-04-28 19:52:32,Q2_3_3,Macul
50,inlove,Evento tipo inlove,-33.538125,-70.65999999999998,2025-04-28 19:52:32,Q2_3_3,Autopista Central
51,sunny,Evento tipo sunny,-33.538125,-70.65999999999998,2025-04-28 19:52:32,Q2_3_3,La Cisterna
52,happy,Evento tipo happy,-33.538125,-70.65999999999998,2025-04-28 19:52:33,Q2_3_3,Estación Central
53,sunny,Evento tipo sunny,-33.538125,-70.65999999999998,2025-04-28 19:52:33,Q2_3_3,Autopista Central
54,LOL,Evento tipo LOL,-33.538125,-70.65999999999998,2025-04-28 19:52:33,Q2_3_3,Independencia
55,peaceful,Evento tipo peaceful,-33.538125,-70.65999999999998,2025-04-28 19:52:33,Q2_3_3,Pudahuel
56,desconocido,Evento tipo desconocido,-33.64875,-70.77999999999999,2025-04-28 19:52:41,Q3_1_1,San Bernardo
57,desconocido,Evento tipo desconocido,-33.64875,-70.74,2025-04-28 19:52:49,Q3_1_2,San Bernardo
58,happy,Evento tipo happy,-33.64875,-70.74,2025-04-28 19:52:49,Q3_1_2,Maipú
59,ninja,Evento tipo ninja,-33.64875,-70.74,2025-04-28 19:52:49,Q3_1_2,Lo Barnechea
60,sunny,Evento tipo sunny,-33.64875,-70.74,2025-04-28 19:52:49,Q3_1_2,San Joaquín
61,zombie,Evento tipo zombie,-33.64875,-70.74,2025-04-28 19:52:49,Q3_1_2,San Bernardo
62,desconocido,Evento tipo desconocido,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Los Dominicos
63,happy,Evento tipo happy,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Puente Alto
64,LOL,Evento tipo LOL,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Puente Alto
65,ninja,Evento tipo ninja,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Vespucio Sur
66,sunny,Evento tipo sunny,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Plaza Italia
67,inlove,Evento tipo inlove,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Ñuñoa Plaza Egaña
68,peaceful,Evento tipo peaceful,-33.64875,-70.69999999999999,2025-04-28 19:52:58,Q3_1_3,Puente Alto
69,desconocido,Evento tipo desconocido,-33.64875,-70.65999999999998,2025-04-28 19:53:06,Q3_1_4,Lo Prado
70,happy,Evento tipo happy,-33.64875,-70.65999999999998,2025-04-28 19:53:06,Q3_1_4,La Cisterna
71,peaceful,Evento tipo peaceful,-33.64875,-70.65999999999998,2025-04-28 19:53:06,Q3_1_4,Apoquindo Las Condes
72,zombie,Evento tipo zombie,-33.64875,-70.65999999999998,2025-04-28 19:53:06,Q3_1_4,Vespucio Sur
73,LOL,Evento tipo LOL,-33.64875,-70.65999999999998,2025-04-28 19:53:06,Q3_1_4,Estación Central
